n,QS_v1_Comparaciones,QS_v1_Intercambios,QS_v2_Comparaciones,QS_v2_Intercambios
20,83,52,82,67
30,112,67,120,85
40,167,119,188,136
50,250,146,275,201
60,279,172,302,223
70,481,324,382,289
80,429,265,423,294
90,636,446,589,404
100,707,365,570,374
110,663,446,658,443
120,831,492,786,540
130,869,526,803,521
140,1258,883,1007,685
150,1052,658,971,596
160,1412,746,1024,667
170,1400,646,1261,728
180,1438,848,1327,895
190,1293,628,1372,848
200,1476,898,1510,1004
210,1824,1085,1695,1192
220,1632,1021,1665,1092
230,1810,984,1652,1009
240,1779,931,1746,1122
250,2607,1571,2063,1486
260,1920,1125,2004,1173
270,2349,1372,2035,1268
280,2155,1273,2172,1415
290,2423,1544,2343,1451
300,2665,1795,2638,1863
310,2666,1787,2492,1688
320,2608,1683,2502,1583
330,2724,1587,2817,1782
340,3417,2067,2694,1541
350,2941,1818,2908,1908
360,3426,1913,2941,1930
370,3162,1844,3239,2115
380,3552,1716,3126,1842
390,3391,1868,3120,1961
400,3468,2168,3314,2073
410,4400,2300,3884,2547
420,4709,2581,3411,2139
430,4143,2561,3644,2304
440,3740,2115,3659,2265
450,4171,2421,4099,2367
460,3809,2202,3952,2614
470,4731,2818,3983,2591
480,4765,2736,4375,2759
490,4664,2797,4242,2755
500,4875,2971,4553,3081
510,4761,3178,4423,2799
520,5206,3175,4540,3006
530,5182,2879,5048,3251
540,4961,2643,4669,2893
550,5104,3094,4880,3025
560,5569,3226,4817,3169
570,5719,3052,5336,3422
580,5357,3027,5031,3135
590,5385,3446,5291,3381
600,5595,3202,5265,3234
610,6231,3777,5961,3771
620,6158,3979,5906,3919
630,5995,3373,5771,3226
640,6085,3588,5735,3494
650,6148,3198,5798,3545
660,6525,3925,5786,3453
670,7362,3822,6695,4159
680,6545,3546,6199,3677
690,6480,3985,6384,4052
700,7192,3678,6406,3697
710,7489,4529,7039,4156
720,7321,4035,7053,3791
730,7388,4068,6661,3979
740,7294,4004,6731,4093
750,8311,4723,7581,5111
760,7904,4982,7372,4774
770,8732,5130,7327,5049
780,8129,5305,7545,4901
790,8341,5446,7385,4898
800,7685,4483,7659,4916
810,8216,4511,7704,4736
820,8386,4959,7894,4845
830,8340,4847,8539,5241
840,9334,5707,8538,4879
850,8189,4411,7812,4592
860,9556,5768,8151,4644
870,8722,5092,8625,5546
880,8864,5061,8271,4901
890,9937,5068,8683,5110
900,9502,5820,9432,5688
910,9453,5436,9123,5826
920,9260,5004,9089,5449
930,10453,6196,9482,6092
940,11616,6211,9912,5943
950,10159,4936,9388,5173
960,11050,7254,9322,5500
970,10967,5010,10418,6433
980,10478,5436,10109,5625
990,10978,5673,10279,6130
1000,11195,5866,9596,5681
