n,QS_v2_Comparaciones,QS_v2_Intercambios,Bubble_Comparaciones,Bubble_Intercambios,FlagBubble_Comparaciones,FlagBubble_Intercambios,Insertion_Comparaciones,Insertion_Intercambios,Selection_Comparaciones,Selection_Intercambios
1,0,0,0,0,0,0,0,0,0,0
2,2,2,1,1,1,1,1,1,1,1
4,7,8,6,2,5,2,2,2,6,3
8,19,17,28,14,27,14,14,14,28,7
16,53,35,120,63,105,63,63,63,120,15
32,146,95,496,258,493,258,258,258,496,31
64,325,229,2016,1168,2001,1168,1168,1168,2016,63
128,800,492,8128,4404,8062,4404,4404,4404,8128,127
256,2093,1250,32640,16344,32315,16344,16344,16344,32640,255
512,4768,3115,130816,68798,130410,68798,68798,68798,130816,511
1024,10423,5623,523776,268321,521696,268321,268321,268321,523776,1023
2048,22565,13988,2096128,1087563,2092212,1087563,1087563,1087563,2096128,2047
4096,50158,28576,8386560,4239205,8377914,4239205,4239205,4239205,8386560,4095
8192,116394,71238,33550336,16770933,33547255,16770933,16770933,16770933,33550336,8191
16384,249426,149357,134209536,67073906,134201786,67073906,67073906,67073906,134209536,16383
